implementation crypto_kem/ntruplus1152/avx2 - 
publickeybytes 1728 
secretkeybytes 3488 
outputbytes 32 
ciphertextbytes 1728 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-gdwarf-4_-Wall 15.2.0 
keypair_cycles - 32710 +9427+293+5156+4573-1236-1225-1136-1230+10414+52+4419-1546+10386+4484+4229-1439-1403-1428+251-1569-1291+4587-1482+21926-1348-1392+4576+6012-1488-1455-1316+4657
keypair_randombytes - 64 +0+0+32+32+0+0+0+0+64+0+32+0+64+32+32+0+0+0+0+0+0+32+0+128+0+0+32+32+0+0+0+32
keypair_randomcalls - 2 +0+0+1+1+0+0+0+0+2+0+1+0+2+1+1+0+0+0+0+0+0+1+0+4+0+0+1+1+0+0+0+1
enc_cycles - 42667 +2304+2197+364+145-165-282+1375+457-115+330+318-239+1828+405-50-242-177+2059-287-321+514-284+1789-227-318-330+271+1147-404-394-297-309
enc_randombytes - 144 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
enc_randomcalls - 1 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_cycles - 30551 +1611+380+192+84-66-71+14+119+31+8-58-30-64+884+134-98-24+20-5+50-141-265-6+51-85+22-498+50-472+73-55-478
dec_randombytes - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_randomcalls - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
keypair_cycles - 35757 -4259+1659+19437-4388-4615-4483+1627+2885+25122-4705+1017+13271+32042+1442+1030-4660-4694+1038+7213-3130+7627+1545+7187-4368-4269-4607-4646+1423+2953-4555-4379+1437
keypair_randombytes - 88 -24+8+104-24-24-24+8+8+136-24+8+72+168+8+8-24-24+8+40-24+40+8+40-24-24-24-24+8+8-24-24+8
keypair_randomcalls - 3 -1+0+3-1-1-1+0+0+4-1+0+2+5+0+0-1-1+0+1-1+1+0+1-1-1-1-1+0+0-1-1+0
enc_cycles - 42803 +1259+427+1161+319-29+266-419+968-475-11-426-424+1389-292-351+109-407+1037+215-344-239+118+367+1015-368-281-504-117+1348+383-42-348
enc_randombytes - 144 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
enc_randomcalls - 1 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_cycles - 30506 +25-30+115+61-131+113-22-201-356+18+153+47+152-447-197+527+133-15+152-355+127-87-83+46+108+133+63-419-248-71-466-489
dec_randombytes - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_randomcalls - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
keypair_cycles - 32276 +7054-880+5018+16737+4810-1318-1150-866+30174+5170-953-913-1136+4913+4891-812+6112+16607-1295-966-850-793+5003-1100-782+14+10594+5178-1097-793-797-1138
keypair_randombytes - 68 +28-4+28+92+28-4-4-4+156+28-4-4-4+28+28-4+28+92-4-4-4-4+28-4-4-4+60+28-4-4-4-4
keypair_randomcalls - 2 +1+0+1+3+1+0+0+0+5+1+0+0+0+1+1+0+1+3+0+0+0+0+1+0+0+0+2+1+0+0+0+0
enc_cycles - 42914 -412+1106-199+223+170+29+759-320-36-418-323+1700-309-629+132+179+1507-652-107-537-325+939-625-543-572+142+1503+25+161+137+16+1478
enc_randombytes - 144 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
enc_randomcalls - 1 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_cycles - 30412 +240+341+144-259+66+109+143-320+125-346-219+94-212-61-230-229+196-301+187-405+492+192+128-311-302+169+267+99-358+167-342-290
dec_randombytes - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_randomcalls - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
