implementation crypto_kem/ntruplus1152/avx2-gt9x16-wire-h3-pairunpack-serializer-v2-exp017-sc20260831 - 
publickeybytes 1728 
secretkeybytes 3488 
outputbytes 32 
ciphertextbytes 1728 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-gdwarf-4_-Wall 15.2.0 
keypair_cycles - 34768 +6096+3389-2703-2920-3226+14463-3323-3323-3336+10273-3322+12036-3428-3321+8355-3281+2560+9874+8448-3570+2660+8360+2377-3391+4045+8544-3461-3449+32366-3370+8555-2139
keypair_randombytes - 76 -12+20-12-12-12+84-12-12-12+52-12+52-12-12+52-12+20+52+52-12+20+52+20-12+20+52-12-12+180-12+52-12
keypair_randomcalls - 2 +0+1+0+0+0+3+0+0+0+2+0+2+0+0+2+0+1+2+2+0+1+2+1+0+1+2+0+0+6+0+2+0
enc_cycles - 43917 +2455-154+10432+1374-50+440-37-201+1464-88-331-391-337+1442+84+26-36+4+1083-168-1-633-281+200+1225+195+117+14-151+1295-85-176
enc_randombytes - 144 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
enc_randomcalls - 1 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_cycles - 30547 +2005+188+95-181-25-175-279-59+120+326+249+125-177+17-154-58+72-16-24-12-242-71+632+17+68+6-71+24+14-77+0+49
dec_randombytes - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_randomcalls - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
keypair_cycles - 37466 +763+1222-6030-6105-6167-6112-6047+17674-459-39-3827+93+6038-412-6293-3+5632-6023+7284+396+23+5902+5901-72+1445-5976-6254+110+5744+298-6087+11773
keypair_randombytes - 96 +0+0-32-32-32-32-32+96+0+0-32+0+32+0-32+0+32-32+32+0+0+32+32+0+0-32-32+0+32+0-32+64
keypair_randomcalls - 3 +0+0-1-1-1-1-1+3+0+0-1+0+1+0-1+0+1-1+1+0+0+1+1+0+0-1-1+0+1+0-1+2
enc_cycles - 43910 +35-8-70-137+2344-229+25-205-147+1421-95-223-127+794+1358+17-183+60-50+1280-373+582+316-46-63+1249+65+37-338-9+1875+34
enc_randombytes - 144 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
enc_randomcalls - 1 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_cycles - 30570 +230+195+27+62-120+100-260+665-16+63-68+25-20-2+4+14-392-233+87+110+25-59-81-150+80-88-188+20-14-14-33+12
dec_randombytes - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_randomcalls - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
keypair_cycles - 35979 +1559+7181+32668-4455-4560+24830-4404+1946-4352+2533+7196+1242-4762-4461+1338+7534+2782-4198+1288-4618-4605-4551-4716-4373-4503+13339+3084+12954+1796-4394+25105+1326
keypair_randombytes - 88 +8+40+168-24-24+136-24+8-24+8+40+8-24-24+8+40+8-24+8-24-24-24-24-24-24+72+8+72+8-24+136+8
keypair_randomcalls - 3 +0+1+5-1-1+4-1+0-1+0+1+0-1-1+0+1+0-1+0-1-1-1-1-1-1+2+0+2+0-1+4+0
enc_cycles - 43934 -109-358+18+857+1500+124-172-348+2+1540+11+47+579+0+1553-44-126-69-54-29+1938+22-62+89-105+1464-38+18-72+453+1299-257
enc_randombytes - 144 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
enc_randomcalls - 1 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_cycles - 30579 +154-70+62-110-11+4+629-39-1+29-146+98+159-64+0-63+52-41+340+163+88+115-146-107+23-73+43-41-111-1-64+154
dec_randombytes - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_randomcalls - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
