implementation crypto_kem/ntruplus1152/avx2-gt9x16-wire-h3-pairunpack-serializer-v2-exp017-sc20260831 - 
publickeybytes 1728 
secretkeybytes 3488 
outputbytes 32 
ciphertextbytes 1728 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-gdwarf-4_-Wall 15.2.0 
keypair_cycles - 37254 +12631+1290+811-5902+23213-5811+89-4365+117-5564+6+841-5807-11+768-5795+1405+292-236+332+6249+5677-6038-5620+1699-253-6000-5949+17887-5749-3-5965
keypair_randombytes - 96 +0+0+0-32+128-32+0-32+0-32+0+0-32+0+0-32+0+0+0+0+32+0-32-32+0+0-32-32+96-32+0-32
keypair_randomcalls - 3 +0+0+0-1+4-1+0-1+0-1+0+0-1+0+0-1+0+0+0+0+1+0-1-1+0+0-1-1+3-1+0-1
enc_cycles - 43950 +1582+332-169-311+1507-43-128+292+75+1303-387-337-347-255+1367+871-49+161-374+1461-285+18+399+57+1709-335-245-306-255-89+1178+1969
enc_randombytes - 144 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
enc_randomcalls - 1 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_cycles - 30563 +2174+135+91+23+63-15-364+147+501-233+43-420+39+106+5-17-120+44-388-508-78+660+74+55-58-153+0+22-104-165-152-117
dec_randombytes - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_randomcalls - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
keypair_cycles - 32990 +5053-1244+10083-148-1483-1572-1824+4512-1484-1703-874+4218+4241-234+10383+4409-1473+22402-1069-1728-624+3-1373-1789+4414+4191-1499-1536+4258-1755+11589+5138
keypair_randombytes - 68 +28-4+60-4-4-4-4+28-4-4-4+28+28-4+60+28-4+124-4-4-4-4-4-4+28+28-4-4+28-4+60+28
keypair_randomcalls - 2 +1+0+2+0+0+0+0+1+0+0+0+1+1+0+2+1+0+4+0+0+0+0+0+0+1+1+0+0+1+0+2+1
enc_cycles - 43853 +363-71-312+1612-58-71+554-460+1730+101-263-269+13+1348+546-118-207-255-453+1088+154+151+184+470+1323+53-519-161-356+1570-128-349
enc_randombytes - 144 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
enc_randomcalls - 1 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_cycles - 30540 +172+133+14+44+167-33-143-11-24+129+503+124-76-1-59-9-26-95+23-6-31-23+468-283+153+3-91+6+13+43-148+6
dec_randombytes - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_randomcalls - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
keypair_cycles - 34040 -1991-2910+5146-2620+3478+3441-2545+3362+3509+3417-2409-940+3737-2424+3295-2634+9282+15090-2751+4718+9025-2201-2527-2610-2749-2684+3201-2683-2635+10774-2319+9049
keypair_randombytes - 76 -12-12+20-12+20+20-12+20+20+20-12-12+20-12+20-12+52+84-12+20+52-12-12-12-12-12+20-12-12+52-12+52
keypair_randomcalls - 2 +0+0+1+0+1+1+0+1+1+1+0+0+1+0+1+0+2+3+0+1+2+0+0+0+0+0+1+0+0+2+0+2
enc_cycles - 43949 +120-159+1585-408+82-69-364+2171-205-152+86-459+1571+68-160-103+696+1296-89+96-140-79+1407-1+2267-118-22+1500-32-24+27+51
enc_randombytes - 144 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
enc_randomcalls - 1 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_cycles - 30545 +396-311+7+76+39+4652-221-106-2-166+37+586-323-277-25-443+18+40+4590-37-84+16-67+305-12-34+135-5+49+31-79+2
dec_randombytes - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_randomcalls - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
