implementation crypto_kem/ntruplus1152/avx2-gt9x16-wire-h3-pairunpack-serializer-v2-exp017-sc20260831 - 
publickeybytes 1728 
secretkeybytes 3488 
outputbytes 32 
ciphertextbytes 1728 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
keypair_cycles - 37389 +13430+808-5739-5805-5932+11996+5795+7749+55-5852-226-5807+185+5910-5919-5888+1262-160-218+5593+6043-6197+5875+1320-505-6124+5844+63+18466-6255-5020-507
keypair_randombytes - 96 +0+0-32-32-32+64+32+32+0-32+0-32+0+32-32-32+0+0+0+32+32-32+32+0+0-32+32+0+96-32-32+0
keypair_randomcalls - 3 +0+0-1-1-1+2+1+1+0-1+0-1+0+1-1-1+0+0+0+1+1-1+1+0+0-1+1+0+3-1-1+0
enc_cycles - 43451 +3044+573+700+1748+86-75-21+83+1402-74-37-302-314+1512-130-85-213-179+1582+243+243-37-124-126+1335+77-78-100-81+1520+139-114
enc_randombytes - 144 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
enc_randomcalls - 1 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_cycles - 30494 +1997-133-219+147-146-159-412+714-181-80-26+103-117+180-15+15-60+130+77+128-52-247-333+49-346+177+80+35+189-57+61+53
dec_randombytes - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_randomcalls - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
keypair_cycles - 36143 -4158+8797-4720+1463+7000-4669-4739+1210+1211-4970-3294-4749+967+6975-4867+1069+1339-5118+1051-3368+12805-4742-4737+7303+1210-4783+1155+2405+7370-4926+1908+1861
keypair_randombytes - 88 -24+40-24+8+40-24-24+8+8-24-24-24+8+40-24+8+8-24+8-24+72-24-24+40+8-24+8+8+40-24+8+8
keypair_randomcalls - 3 -1+1-1+0+1-1-1+0+0-1-1-1+0+1-1+0+0-1+0-1+2-1-1+1+0-1+0+0+1-1+0+0
enc_cycles - 43855 +1625+231+56-295+159+1421-423-533+21-403+882-12-394-431-363+793-52-27+9-46+1455-46-63+99+0+1451-53+59-85+1+242+1490
enc_randombytes - 144 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
enc_randomcalls - 1 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_cycles - 30281 +373+201+534+263-9+40-145+982+169+441+108+7-215+53-44+202-119+16-106+337+36+87-3-115-128-92-173-209-120-167-200-45
dec_randombytes - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_randomcalls - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
keypair_cycles - 38630 +5205-7395-1168+4585+5470-1615-1572-7449-7431-7315+10710-7236+12013-7187+10058+4541-1330+4705-5697+16266+3933+4754-1626-1302-7413-6041-7102+4342+5227+4554-1434-1465
keypair_randombytes - 104 +24-40-8+24+24-8-8-40-40-40+56-40+56-40+56+24-8+24-40+88+24+24-8-8-40-40-40+24+24+24-8-8
keypair_randomcalls - 3 +1-1+0+1+1+0+0-1-1-1+2-1+2-1+2+1+0+1-1+3+1+1+0+0-1-1-1+1+1+1+0+0
enc_cycles - 43533 +77+245+285-121+1529-291-193-220-292+1105+190+33-287-215+1272+38+9-164+9+1188-324-332-335+108+1181-372-370-154+340+1743+336+241
enc_randombytes - 144 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
enc_randomcalls - 1 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_cycles - 30247 +456+158+280+419+104-13+161+1097+168+505-76+37-77-47+289+143+31-33-103-95-128-66-10-186-109-156+179-204-70-77-69+496
dec_randombytes - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_randomcalls - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
