implementation crypto_kem/ntruplus768/avx2-gt32-clean - 
words 768 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O2_-fwrapv_-fPIC_-fPIE_-gdwarf-4_-Wall 15.2.0 
forward_frontend_cycles - 457 +56+19-3+14+3-11-7-11-16+6-8+30+2+7+13-7+4-9-8-1+15-11+6-2-7+5-4-1-4+3+7-4
forward_m_terminal_cycles - 649 +77+10-6+2+15-6-8-14-3+18+2-23+11-2+12-3+5+28+22+3-12-2+13+2+4+0-9-4-20+10-11-13
forward_p_terminal_cycles - 649 +61+25-19-6+36-15-15+19+0-19-7-9+9+4+20-5+1+19+7-7+21+14+19-8-6-10+92-4+0+0+4-1
forward_m_full_cycles - 893 -1+2-13-9+0-13-11-35-16-17-1+10-22-11-36-7+1+14+21-25+3+6+685+12-21+581+29+605+8+3+593+15
forward_p_full_cycles - 907 +68+15-9-16-20-5-7-5+2+6-16+2+10+9+17-3+10+6+2+4-7-12+14-2-21+37+100-11-21-13+3+0
baseinv_j1_cycles - 1199 +39+2-6+5-21+10-13-1-2-7+6-9-3+16+4-3+0+11-8+6+20+2-12+0+7-1+3-11-5+6+8-4
basemul_f0_j1_cycles - 622 +79-10-4-16-16-9-5+1-15+1+6+2-10+4-9+3+2-18-13-1+3-3-5-11+10+6+7+0+8+12+27+8
basemul_general_m_cycles - 742 +114+50+11-20-5-13-12+0+51+30+20+15+3+0-10-12-4+5-1+26+0-3-1+13-16+1-6+1+4-12-1+2
basemul_scale_m_cycles - 635 +75+3-1-10-9-9-3+3+24-6-6-2-10+8+15+20+5+0+5+6+5-3-6-9+4-2+3+0+1-9+13+0
inverse_m_core_cycles - 633 +57+16+10+33-7-1-22+23-4-13-11-24-15+11-3-8+2+21-12+15+18+9+3-4-4+6+14+2-10+10-3-7
inverse_m_tail_cycles - 591 +1102+5+22+13+9+2-21-1-22+13+18+12-8+3-18+14+6-3+0-2-20-9-22+9+3-3+12-1-6-21-8-14
inverse_m_full_cycles - 971 +63+15+34-15+5-18-1-13+2+10+44+0+13-3-10-13-22-25+7+24+4-26+2+26-3+3-6-22-21+5-27+12
q24_unpack_m_cycles - 392 +443+32+31+2+1-12-3-11-14+52+10+9-15-1-6-1-4+4-8+4+11-7-10-5+1-6-8-7+8+10+24+25
q24_pack_m_centered_cycles - 439 +1+4+5+0-7-10-2-7-5-6+1-1-5+5-9+3+2+7+1-7-2+7+2+8-4+6+12+8+5-2-3+5
q24_pack_m_lazy_cycles - 487 +564+7+12-5+6+1-14-5-6-16+21-4+3-3-5-3+0-9-4+6-1+5+6-6+0-1+6-2+19+9-1+16
q24_pack_m_highrange_cycles - 489 +121+8+4-6+1-6+11-3-16-5+9-20-5-9-1+0-3+2-8-4-8-8+0+6+1-7+6+4+17+9+3+16
q24_pack_p_cycles - 459 +672+30+19+11+21+11-12-7-8-17-12-13-23-3-19-10-8+3+4-1+0+0+2+1+14+0+0+2-4-4+13+32
q24_equal_m_cycles - 344 +137+1+8+12+13+7+2+4-11-11+13+9-3+3+3+3-1+5+6-8-9+1-9-12-7-14-14-17-9+1-8-10
forward_frontend_cycles - 458 +19+22+1+1+5-4-3-8+3+0-5+8+12-8+1+3+8-8-9+1+0-18+3-4+2-6-7+1+6-4+8-12
forward_m_terminal_cycles - 641 +27-12+19+9-10+17+48-5+13-9+13+1-17+13-24+3-21+9-5-5+2-21+4-7+7+16-13+8+15-17-15-9
forward_p_terminal_cycles - 658 +7-12-11-38+19+5+11-5+0+1+0+2-6+13+3+6+19-11+13+2-12-13-19+10-5-4+61-6+12-17+18-3
forward_m_full_cycles - 890 +38+10+6-38-25-25-16-20+3-14+1+4-1+19+14+5-19-11+4-4-10+32+1-25+6+8-19+12-16+6+14-35
forward_p_full_cycles - 912 +28-19-29-54+6-18+1-28+18-14+23-17-16+1+0+31-5-20+3-4+30-4+14-14+12+10+88+16-12+11+12-9
baseinv_j1_cycles - 1194 +76+8-2-8-4-14+1+8+4+9-3-5+1+1-12+4+3-2+1+6+15-2+12-5-3-1-5-4-5-5+2+14
