implementation crypto_kem/ntruplus768/avx2-gt32-clean - 
words 768 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O2_-fwrapv_-fPIC_-fPIE_-gdwarf-4_-Wall 15.2.0 
forward_frontend_cycles - 456 +49+13+8+14-4-9+12+13-3-3-8-8-2-1-1-7+3+5-4+15+1-2+1-9-4+1-3+1+1+10+0-13
forward_m_terminal_cycles - 645 +83+25-11-7-13-7+24-4-2-2-5+20+3-6+0+6+10+11-9-3+15+19+19+17-5+8-6+3-5-20+1+4
forward_p_terminal_cycles - 657 +57+18-1+10-10+1-1-18-6+10-9-16+12-13-33-17-5+2+11+5-12-12-1+6+8-4+7+4+8-3+6-18
forward_m_full_cycles - 896 +81-8-23+3-12-1-13-7+11+5-33+4+8+17-11+2-14-12+0-14+9+10+631-7-12+624+3+615+3-4+620-5
forward_p_full_cycles - 911 +32-18+6-6+2-37-21+12-1-26-4+1-18-3+3+2+15+0+24-8-14+9+5-10-24+8+13-8+6+41-2+17
baseinv_j1_cycles - 1199 +73+20-3-9-20-11-18-13+1+4+5-9-18+13+7+7+6+21-10+12-1-10-8+11+12+15-7+12-3-3-2-15
basemul_f0_j1_cycles - 622 +109+7-6-6-18-15-11-17-10-12-6-8-4+1+8-2+4+11-2+0+6-6+21-3+11+11-2+12+10+9+3+12
basemul_general_m_cycles - 715 +129+73-1+0+19-10-2-15-5-13-2+2+1-16+0+0-4-2-9+4-9+3+17+10+15-2+1+17+2-2+12+20
basemul_scale_m_cycles - 638 +78+7-11-12-9-9+1-10-10-2-2-3-2-6-7-8+1+0+0+1+4+1-4+4+46+40+9+2+19+9+12+9
inverse_m_core_cycles - 631 +79+28+15-13+7+22+0-22-2-2-7-16+2+17+6+3-28+1+4+23+23-1-10-17+37-16-25+1-23-14+9-5
inverse_m_tail_cycles - 590 +300-2+15+7-9+5-1-15-3+8-4-19+9+1+7-7+5+9-6-3+18-3-6+8-1+20-4-1-2-13-2+5
inverse_m_full_cycles - 978 +64+12+2+5-15-1+1-7-3-8+0-16+15-29-2+28+14+4+0-11-9-5+32-12+0-15-8+13+22+26+11-21
q24_unpack_m_cycles - 402 +175+22+25+7-19-25+1+41-12-19-11-11-10-2-8-8+3+0-5-1+10+4+9+4-12+2-3+15+12+2+4-3
q24_pack_m_centered_cycles - 443 -23+1+8-7-18-6-1+2-3+2+7-6-4-15-21+12-15-18-1-1+8+8+8-6+2+10+2+9+2+3-3+14
q24_pack_m_lazy_cycles - 487 +149+13+20+5+6-4-6-15-14+2+12+15+3+0+13+3+3-7-3-8-8-4-7-9-2-3-3-11+18-4+13+29
q24_pack_m_highrange_cycles - 488 +154+6+8+3+2-4+11-1-9-17+14+7-3-7-4-2-5-13+4-7+13-16-9+0-3+0-23+2+24+2-1+5
q24_pack_p_cycles - 455 +139+29+27+11+12+4-9-4-13-16-10-26-1-4-11+14-9-9+2-6-6-7+7+5+12+6+7+12+9-12-7+13
q24_equal_m_cycles - 348 +129+40+8+2+10-6-9-12+0-4-11-3-1+1+2-3-8-1-1+3+6+5+5-2+4+2-12-5+2+5-15-5
forward_frontend_cycles - 460 +25+11+4-3+1-3-8-12+3-1-6+4+0+5-3+6-1-7+2-4+9-2-8-2-11-11+2+0+6-2+2+4
forward_m_terminal_cycles - 652 +44-6-2-33+3-22+9-14+0-1+1-19+0+8-22+4+15+8-13-15+19-5+11+20-3+1+5-25+5+0-3+8
forward_p_terminal_cycles - 655 +29+14-6+3-2-12-11-21+7-3-2+3+9+4+6+0-12-19+0+4+14-6+21+7-15-3+19-23-17+15-21+16
forward_m_full_cycles - 891 +23-1+0-4-19-4-21-9+15+11+7+5+40+11-3-18-4-1+17-16+10+5+17+2+14-8-14-22-4+15+14-16
forward_p_full_cycles - 909 +5+6+16-4-5+8+5-11-25+8-2+22-8+7-10+16-3+21-20+10+22+5-23-13-5-17-8-21+8+19+0-7
baseinv_j1_cycles - 1195 +40+8-9-14-16-8-4+1+0+11-3-3+9+1-1+4+12+14-2+1+5+10-9-8+1-4-9+5+0+1-8-11
basemul_f0_j1_cycles - 621 +28+5-1+9+2-4+2-17-13+11+5+2+6+6-3+4-8-3-2+0-5-10+12+14+8-4-17-15+9-8-8-5
basemul_general_m_cycles - 724 +79+38+2-10-8-21-7-4+14+16-32+3-1+33+4-14-14+5-15-1+8+2-2+10+5-1+3-3-2-22-9+3
basemul_scale_m_cycles - 637 +48+16+2-10-12-4-5+0+2+1+2-1+0-8-12-13-4+0-12+7+3+2+9+8+0+2-3-9+2+3-3+1
inverse_m_core_cycles - 630 +38+27+4-1-6-7-3+20+5+22+33+21+0+2-7-1-25-27+3+3+1+10-3-3-16+35-12-6+8-14-18+3
inverse_m_tail_cycles - 590 +37+17+6-13-11+9-2-10-11+7-3-7+0+15+8+11-23+11+3+5+0-4-5-5+0-8+8+4+11-2-13-17
inverse_m_full_cycles - 976 +15+34-20-39-25-13-6-7+4+26-27+7+0+18-5+28+10+43+35+14+13+14-7-11-8-6+15+0+9-21-8-23
q24_unpack_m_cycles - 399 +43+23+25+4-12-11-16+46-25-10+0-6-15-3-3-11-7+1-6-14+9-4+4-14+2+13+11+17+19+2+7+13
q24_pack_m_centered_cycles - 437 +9-9+13-8-3-10+17-4-16-15-5+0-10-9-4-3+8+0+3+4+0+4-11-2+6-1+3+13+12+6+2+26
q24_pack_m_lazy_cycles - 484 +22+19+18+3+11-6-8+0-4-17+6+0+0-6+0+0+3-3+18+1+5-6-4-1+7-3+1-11+2+5-3+6
q24_pack_m_highrange_cycles - 487 +22+9+3-7+21-4-6+1-5-10+0+3+0-7+2+14+2+2+5-1-1+1-8+0-5-4-8-1+17-7+1+3
q24_pack_p_cycles - 457 +33+9+9+0+1+2-17+1-7-2+4+0-1-12-9-8-7+6-6+3-8+5-5-5+8+7-6+11+3-3-5+30
q24_equal_m_cycles - 347 +38-4+34-3-8+9-5-5-2-9+5+2+5-1-8+2+14+6+3-9+5+1-1-10-2+4+2-1-5+3+2-3
forward_frontend_cycles - 457 +12+15+5+3+15+3-3-6-4-5-13+8-5-13+5-5-7-14-3+7+3+1-3+17-7+6+15+14-4+4-10-4
forward_m_terminal_cycles - 652 +29+14+8-6+0+16-1+31+13+6+16-22-1-13-27-16+21-9-27+3-11+7+13-3+27-1-18+6-23-4-12-11
forward_p_terminal_cycles - 655 +60+18+12-20-1+7+7+3-18-12-5+6+10+1+3-8+12-7+4-1-25-12+27+10-12+15-34+3-15-5+1-14
forward_m_full_cycles - 888 +28+1-12+6-14-1-2-18+7+11+0+25+0+1+51+0-7+1-13+4-7-10-17-1-6+1+6+24-1-6+26-4
forward_p_full_cycles - 907 +24-10+17-5-12+5-3-21-15+3-5-9+23+2+0-16-26+25+15-3+17-6+15-7+11+3+30+7+38-9-10+3
baseinv_j1_cycles - 1197 +31-9-16+3-15-21-9+6+0-19-18-1-14+3+14+9-7+14+12+2-12+6-3+5+5-1+9-9+11-2-10+7
basemul_f0_j1_cycles - 622 +37+11-15-17+4-12-12-16+5+12-6+3+7+10-5+12-6-7+13+2-6-5-7+2+8+14+8-4+4+0-6-6
basemul_general_m_cycles - 725 +81+34+10-5+15-12-7-6-4-13-16-12+6-9+13-8-17+11-10-7+8+3-2+3-1+22-10+7+14+7-3+15
basemul_scale_m_cycles - 642 +13+16+13-1+2-2-8-10+3-6-3+6-8-5+9-5+4+5+0+1-2-2+2+2+2+10+7+12-3-3-5-8
inverse_m_core_cycles - 632 +49+33+19-8-22-19-9+9+1+14-8-3+12-12-22+2-9-3+33+10+9+2-10-2-9+3+14+21-26-14+3+3
inverse_m_tail_cycles - 586 +34+13+9-1-2-1-4+0+3-11-8-3-2+7-1-9+2+0+3+6+13-7-1-13+8+3+4+1-12+13-2+14
inverse_m_full_cycles - 971 +0-7-21-4-2-1+1-25+2-15+12-40-1+10-38-11-8+22+15-2+15+10+14+11+11+4-18+20+14+0+1-19
q24_unpack_m_cycles - 397 +45+27+26+2-12-17-13-13-10+5+5-4-3-2-14-2+3-2+4+3+3+0-8-8-2-5+6+1+7+10+12+10
q24_pack_m_centered_cycles - 436 -5-13+0+8-10-5-10+5-10-2+15+16+7+3-7+15+19-1-19-2+1+5+5+6-1-3-11+0+4-3-3+9
q24_pack_m_lazy_cycles - 484 +8+13+12+11+3+2-5-1-8-17+8+5-7-2-3-3-7-5+0+3+0-6+5-7+5+9-7-12+12-11+5+2
q24_pack_m_highrange_cycles - 490 +7+15-1-2-8+11+6-4+8-6+8+2-1+1-1-18-3+8+11+0+0-6+7+1-2-7+10+0+13-5-3+2
q24_pack_p_cycles - 458 +23+22+15+17+9-11-8-4-10-14-3-22+1+0-15-4-4+2+5+2-2+4+3+3+6+0-4+3-6-18-1+22
q24_equal_m_cycles - 346 +47-9+24-3-3+0+8-2+0-7-9-16+1+7+2+1+5+3-13-1+2+5+6+4+4-5-2-9-1+1+4-4
