implementation crypto_kem/ntruplus1152/avx2-gt9x16-wire-h3-pairunpack-serializer-v2-exp017-fixed-reversed - 
publickeybytes 1728 
secretkeybytes 3488 
outputbytes 32 
ciphertextbytes 1728 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
keypair_cycles - 33868 +16256-2092+3476-2253-2418+9425+3586-2462+4643-2670+9160-2469+3530+3457+3491-2488-2206-936+3026-2557-2554-2758+3221-2531+3515+4280+5065-2387-2214-2424+3458-2429
keypair_randombytes - 76 +20-12+20-12-12+52+20-12+20-12+52-12+20+20+20-12-12-12+20-12-12-12+20-12+20+20+20-12-12-12+20-12
keypair_randomcalls - 2 +1+0+1+0+0+2+1+0+1+0+2+0+1+1+1+0+0+0+1+0+0+0+1+0+1+1+1+0+0+0+1+0
enc_cycles - 43724 +2468+1716+263-303+9-181+1891-285-197-81-67-163+1426+120-18-37+47+1435-24+65+155-248+1342+323-176-195-176+1363-151-117+38+52
enc_randombytes - 144 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
enc_randomcalls - 1 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_cycles - 30431 +2209+244-4+52+842+128+191+150+27-31-235+2-250+109+32-110-3-4-17+152+19-112-243+42-22-216-105+17-78-133-24-12
dec_randombytes - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_randomcalls - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
keypair_cycles - 32101 -119+5360+11170+11100-755-688-942+750-987+4985+4951+5190-857-713-700-800-903+879+11137+4970+5186-525-670-785-771+5174+600+5090+5144-227-888-813
keypair_randombytes - 64 +0+32+64+64+0+0+0+0+0+32+32+32+0+0+0+0+0+0+64+32+32+0+0+0+0+32+0+32+32+0+0+0
keypair_randomcalls - 2 +0+1+2+2+0+0+0+0+0+1+1+1+0+0+0+0+0+0+2+1+1+0+0+0+0+1+0+1+1+0+0+0
enc_cycles - 43921 +104+1640+40-25-177-161-81+1380-47+56+100-363+1292+39+107-110-104+1378+0-4+14-287+1413+53-91-160-40+1575+52-116-22-69
enc_randombytes - 144 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
enc_randomcalls - 1 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_cycles - 30415 +433-205+108-362-50+11+22-20+568+204+68+97-105+243+56-20-107-79-40-135-58+18-170-24+35+47+36-9-146+109+21-207
dec_randombytes - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_randomcalls - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
keypair_cycles - 34773 +2923+8322+2447-3110+2648-3224+2747-1863-3379+2291-3546+14245+2519-3325-3421-3402+27951+2658+2802-3349+2560-3220-3222-3241-2165+8706+2482-3630+2633+2553-3788-2603
keypair_randombytes - 80 +16+48+16-16+16-16+16-16-16+16-16+80+16-16-16-16+144+16+16-16+16-16-16-16-16+48+16-16+16+16-16-16
keypair_randomcalls - 2 +1+2+1+0+1+0+1+0+0+1+0+3+1+0+0+0+5+1+1+0+1+0+0+0+0+2+1+0+1+1+0+0
enc_cycles - 43936 +256-24+7-69+1376-29-169-151+72+170+1381-420+131-2-165+1458+17+40-23-78+1489-424+16+40-224+1401-28-91-136+68+1595-331
enc_randombytes - 144 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
enc_randomcalls - 1 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_cycles - 30439 +416+26+34+83-70-50+135-43+531-25-204+111-89+8+82+207-158-9+36-60-160+120-280-145+16+160-8+36+93-252-173-64
dec_randombytes - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_randomcalls - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
