implementation crypto_kem/ntruplus1152/avx2 - 
publickeybytes 1728 
secretkeybytes 3488 
outputbytes 32 
ciphertextbytes 1728 
cpuid unknown_CPU_ID_ 
cpucycles_persecond 1400000000 
cpucycles_implementation default-perfevent 
compiler gcc_-march=native_-mtune=native_-O3_-fwrapv_-fPIC_-fPIE_-ffunction-sections_-fdata-sections_-Wl,--gc-sections_-gdwarf-4_-Wall 15.2.0 
keypair_cycles - 31639 +11780+25839-333+11710+17442-172+24956-577-568-312+575-77-98-98-189+5477+7008-227-187-3-162-134-31-391-250+5824+1204+5296+5809-135-530+5776
keypair_randombytes - 64 +0+128+0+64+96+0+128+0+0+0+0+0+0+0+0+32+32+0+0+0+0+0+0+0+0+32+0+32+32+0+0+32
keypair_randomcalls - 2 +0+4+0+2+3+0+4+0+0+0+0+0+0+0+0+1+1+0+0+0+0+0+0+0+0+1+0+1+1+0+0+1
enc_cycles - 43147 +845+1241-340+125-104+142+1324-12-19-39-50+1253-211-604-6-64+1724+34+20+19-30-2+806+65-410+32+402+1018-28-241-514-181
enc_randombytes - 144 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
enc_randomcalls - 1 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_cycles - 30298 +2493+601+2-17+173+247+37+300+297-23-80-146-24-16-181-70+35-151-172+165+58+7-21+122+24-217+94-124+94-70-61-16
dec_randombytes - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_randomcalls - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
keypair_cycles - 31508 +12190+218-189-25-137-230-271+6018+13194-126+5633+104+11824+105+240+19526-53+64+5740-424+11362-336-60-468+18623-120-18-395+5458-402-234-455
keypair_randombytes - 64 +64+0+0+0+0+0+0+32+64+0+32+0+64+0+0+96+0+0+32+0+64+0+0+0+96+0+0+0+32+0+0+0
keypair_randomcalls - 2 +2+0+0+0+0+0+0+1+2+0+1+0+2+0+0+3+0+0+1+0+2+0+0+0+3+0+0+0+1+0+0+0
enc_cycles - 42972 +1121+34-541-384+257+877-229+25-161-111-75+1441-180+102-625+207+1259-114+45-214+57+981-180-100+111+174+905-695-131+542-90+1602
enc_randombytes - 144 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
enc_randomcalls - 1 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_cycles - 30304 +424+316+54-164-212-69+118+393+313-298-106-199+193+135+300+3+160+204+245-169-236-6+23-98+28-89-201-155+24+116-127-56
dec_randombytes - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_randomcalls - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
keypair_cycles - 34332 +8946-2784-3323-3182-3119-3053+4152+3330-2664+2669+2738+2721+3205-3043-3075+4316+2974+9174-3129-2359-2970-3047-3227-2793+4572+14409+2473+2998-2996-3182+20463+10550
keypair_randombytes - 80 +48-16-16-16-16-16+16+16-16+16+16+16+16-16-16+16+16+48-16-16-16-16-16-16+16+80+16+16-16-16+112+48
keypair_randomcalls - 2 +2+0+0+0+0+0+1+1+0+1+1+1+1+0+0+1+1+2+0+0+0+0+0+0+1+3+1+1+0+0+4+2
enc_cycles - 43030 -21+49+227+861-452-95-586+87+743-604+78-46+27+861-303-205-15-568+1151+15+22-93+37-143+1396+118-30-235+9+1681-234-10
enc_randombytes - 144 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
enc_randomcalls - 1 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_cycles - 30336 +332+286+59+86+225+51-162-35+238-244-162-111+257+246+199-248-147+199+263+283-48-22+29-58-26-219-11-188-55-242-168+252
dec_randombytes - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
dec_randomcalls - 0 +0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0+0
